料金按分集計一覧表[グループ別集計],,,,
按分方式,空調負荷按分,,,
集計期間,2025/01/01～2025/01/31,,,
集計日,2025/2/1 9:56,,,
,,,,
グループ名称,ガス使用量[m3],ガス従量料金[円],電力使用量[kWh],電力従量料金[円]
1230 ｴﾄﾛ,416,416,118.4,118.4
1235 ｳﾞｪﾙｻｰﾁ,95.1,95.1,65.3,65.3
1240 ｺｽﾒﾃｨｯｸ ｶﾝﾊﾟﾆｰｽﾄｱ,380.2,380.2,77.9,77.9
1260 ﾖｷﾞﾎﾞｰ,506.8,506.8,116.7,116.7
1260 ﾖｷﾞﾎﾞｰ,717.8,717.8,139.3,139.3
1265 ﾖｷﾞﾎﾞｰ,133,1.33,88.9,0.889
1270 ｱﾙﾏｰﾆ,278.2,278.2,92.4,92.4
1270 ｱﾙﾏｰﾆ,195.7,195.7,92.5,92.5
Staff lounge,53.1,53.1,14,14
授乳室,1088.6,1088.6,79.3,79.3
1F客用WC,651.7,651.7,43.8,43.8
2230 ﾌﾞﾘｼﾞｽﾄﾝｺﾞﾙﾌ,242.5,242.5,43.2,43.2
2230 ﾌﾞﾘｼﾞｽﾄﾝｺﾞﾙﾌ,194.8,194.8,72.2,72.2
2235 本間ｺﾞﾙﾌ,598.1,598.1,114.1,114.1
2235 本間ｺﾞﾙﾌ,24.8,24.8,16,16
2240 ｱﾙﾁﾋﾞｵ,374.6,3.746,91.1,0.911
ﾁｬｵ倉庫 2225,2.2,2.2,27.1,27.1
会議室,50.1,50.1,31.3,31.3
2245 新倉庫,1.9,1.9,54.1,54.1
2250 ｾﾌﾞﾝｲﾚﾌﾞﾝ,19.3,19.3,29.9,29.9
2250 ｾﾌﾞﾝｲﾚﾌﾞﾝ,37.9,37.9,87.7,87.7
2255 ｱﾝﾀﾞｰｱｰﾏｰ,417.4,417.4,91.5,91.5
2260 ｱﾝﾀﾞｰｱｰﾏｰ,193.5,193.5,95,95
2265 ｱﾝﾀﾞｰｱｰﾏｰ,356.4,356.4,104,104
2270 ｱﾝﾀﾞｰｱｰﾏｰ,544.5,544.5,108.7,108.7
2F客用WC,449.6,449.6,46.3,46.3
合計,8023.8,7521.276,1940.7,1762.5
