集計値一覧 電力按分
出力日  2025年2月1日
指定月度  2025年 1月度
2025年 1月 1日 ～ 2025年 1月 31日
名称,前月使用量[kWh],今月使用量[kWh],前月比[%],前年同月比[%],停止時電力[Wh]
1F 6600-01,165.10,500.27,303.0,113.9,0
1F 6600-02,109.57,403.18,368.0,110.3,0
1F 6600-03,149.13,462.70,310.3,97.4,0
1F 6600-04,170.22,465.92,273.7,141.6,0
1F 6600-05,118.80,415.35,349.6,90.6,0
1F 6600-06,152.06,475.10,312.5,93.2,0
1F 6605-01,98.31,102.56,104.3,96.8,0
1F 6605-02,71.81,68.79,95.8,124.4,0
1F 6605-03,41.32,36.04,87.2,97.3,0
1F 6605-04,183.42,210.84,114.9,67.5,0
1F 6605-05,139.09,191.88,138.0,95.7,0
1F 6605-06,142.57,160.86,112.8,76.1,0
1F 6610-01,242.25,265.21,109.5,82.3,0
1F 6610-02,24.95,43.19,173.1,37.6,0
1F 6610-03,166.32,188.03,113.1,63.7,0
1F 6610-04,227.95,264.48,116.0,87.8,0
1F 6610-05,177.66,182.00,102.4,63.1,0
1F 6610-06,148.20,210.33,141.9,63.4,0
1F 6610-07,497.77,459.71,92.4,84.4,0
1F 6610-08,54.93,93.88,170.9,45.7,0
1F 6610-09,65.14,107.73,165.4,47.4,0
1F 6610-10,319.14,317.41,99.5,68.3,0
1F 6610-11,165.83,192.52,116.1,42.0,0
1F 6610-12,125.97,149.00,118.3,45.9,0
1F 6620-01,56.16,64.44,114.7,41.2,0
1F 6620-02,94.70,97.75,103.2,64.7,0
1F 6620-03,73.53,93.78,127.5,51.3,0
1F 6620-04,25.83,43.93,170.1,32.2,0
1F 6620-05,173.57,215.22,124.0,133.2,0
1F 6620-06,399.35,520.94,130.4,207.8,0
1F 6620-07,20.28,47.41,233.8,57.0,0
1F 6620-08,123.54,399.47,323.4,477.2,0
1F 6620-09,106.06,394.31,371.8,389.8,0
1F 6620-10,18.81,58.22,309.5,67.3,0
1F 6620-11,28.40,69.31,244.1,117.8,0
1F 6620-12,95.11,151.04,158.8,230.0,0
1F 6620-13,248.07,347.04,139.9,310.8,0
1F 6620-14,323.49,544.38,168.3,610.3,0
1F 6620-15,14.54,38.32,263.6,96.3,0
1F 6620-16,290.04,346.13,119.3,115.7,0
1F 6620-17,33.67,102.30,303.8,155.6,0
1F 6620-18,266.90,368.25,138.0,135.7,0
1F 6620-19,604.90,730.92,120.8,170.2,0
1F 6620-20,28.33,73.63,259.9,122.6,0
1F 6620-21,273.18,466.98,170.9,135.6,0
1F 6620-22,969.57,1069.40,110.3,140.0,0
1F ロッカー（W）,9.66,10.18,105.4,64.6,0
1F ロッカー（M）,9.64,10.74,111.4,68.5,0
1F 客用ストックルーム,14.69,15.51,105.6,64.3,0
(予備)1F 客用ストックルーム-02,0.00,0.00,****,****,0
1F 事務室１,32.76,91.76,280.1,84.5,0
1F 事務室２（清掃員用）,1.29,11.18,865.4,113.0,0
1F ベビールーム-01,304.32,329.93,108.4,198.3,0
1F ベビールーム-02,31.18,44.78,143.6,52.4,0
1F 授乳室,571.20,673.72,117.9,96.8,0
1F おむつ替コーナー,402.46,384.55,95.6,238.7,0
1F 6635-01,221.58,325.51,146.9,80.8,0
1F 6635-02,578.03,661.69,114.5,104.2,0
1F 6635-03,647.38,698.83,107.9,99.7,0
