料金按分集計一覧表[グループ別集計]
按分方式,空調時間按分
集計期間,2025/01/01～2025/01/31
集計日,2025/02/01 09:54

グループ名称,ガス使用量[m3],ガス従量料金[円],電力使用量[kWh],電力従量料金[円]
1100 ｹｲﾄｽﾍﾟｰﾄﾞ,5.0,0,2.1,0
1100 ｹｲﾄｽﾍﾟｰﾄﾞ,150.7,1,60.7,0
1100 ｹｲﾄｽﾍﾟｰﾄﾞ,11.4,0,4.6,0
1100 ｹｲﾄｽﾍﾟｰﾄﾞ,156.6,1,63.2,0
1100 ｹｲﾄｽﾍﾟｰﾄﾞ,101.9,1,41.1,0
1110 ｼﾞｪｰﾌﾟﾚｽ,54.9,0,22.2,0
1110 ｼﾞｪｰﾌﾟﾚｽ,67.2,0,27.1,0
1110 ｼﾞｪｰﾌﾟﾚｽ,176.2,1,71.1,0
1115 ｵｰｸﾘｰ,137.1,1,55.3,0
1115 ｵｰｸﾘｰ,22.9,0,9.2,0
1115 ｵｰｸﾘｰ,97.7,0,39.4,0
1120 ﾜｺｰﾙ,7.9,0,3.2,0
1120 ﾜｺｰﾙ,9.6,0,3.8,0
1120 ﾜｺｰﾙ,15.0,0,6.0,0
1125 ｾｵﾘｰ,108.7,1,43.9,0
1125 ｾｵﾘｰ,98.0,0,39.5,0
1125 ｾｵﾘｰ,101.7,1,41.1,0
1130 ｾｵﾘｰ,105.0,1,42.3,0
1130 ｾｵﾘｰ,48.9,0,19.7,0
1130 ｾｵﾘｰ,130.3,1,52.6,0
1135 ｺｰﾁﾒﾝｽﾞ,120.7,1,48.7,0
1135 ｺｰﾁﾒﾝｽﾞ,13.5,0,5.5,0
1135 ｺｰﾁﾒﾝｽﾞ,229.0,2,92.4,0
1140 ﾃﾞｨｰｾﾞﾙ,84.2,0,34.0,0
1140 ﾃﾞｨｰｾﾞﾙ,37.2,0,15.0,0
1140 ﾃﾞｨｰｾﾞﾙ,29.5,0,11.9,0
1145 ﾃﾞｨｰｾﾞﾙ,17.5,0,7.0,0
1145 ﾃﾞｨｰｾﾞﾙ,38.4,0,15.5,0
1145 ﾃﾞｨｰｾﾞﾙ,19.5,0,7.9,0
1150 ﾆｭｰﾖｰｶｰ,42.1,0,17.1,0
1150 ﾆｭｰﾖｰｶｰ,65.3,0,26.3,0
1150 ﾆｭｰﾖｰｶｰ,94.6,0,38.1,0
1155 ﾘｰｶﾞﾙ,115.6,1,46.6,0
1155 ﾘｰｶﾞﾙ,12.8,0,5.2,0
1155 ﾘｰｶﾞﾙ,173.0,1,69.7,0
1160 ﾃﾝﾋﾟｭｰﾙ,207.9,2,83.9,0
1160 ﾀﾞｲｱﾅ,140.4,1,56.7,0
1160 ﾀﾞｲｱﾅ,114.9,1,46.3,0
1165 ﾄﾘﾝﾌﾟ,113.8,1,45.9,0
1165 ﾄﾘﾝﾌﾟ,9.2,0,3.7,0
1165 ﾄﾘﾝﾌﾟ,110.5,1,44.6,0
1170 ｽﾞｯｶ,142.7,1,57.6,0
1170 ｽﾞｯｶ,110.5,1,44.6,0
1170 ｽﾞｯｶ,53.1,0,21.4,0
1175 ｱｸｱｽｷｭｰﾀﾑ,107.6,1,43.4,0
1175 ﾕｰﾓｱ,93.2,0,37.6,0
1175 ｱｸｱｽｷｭｰﾀﾑ,163.3,1,65.8,0
1180 gelato,211.3,2,85.2,0
1180 gelato,127.3,1,51.3,0
1180 gelato,223.2,2,90.0,0
1180 gelato,207.2,2,83.6,0
1180 gelato,127.1,1,51.3,0
1180 gelato,370.3,3,149.4,1
2100 ｵﾘｰﾌﾞ,86.0,0,34.7,0
2100 ｵﾘｰﾌﾞ,74.2,0,29.9,0
2100 ｵﾘｰﾌﾞ,88.5,0,35.7,0
2110 ﾗｺｽﾃ,34.2,0,13.8,0
2110 ﾗｺｽﾃ,3.7,0,1.4,0
2110 ﾗｺｽﾃ,2.6,0,1.0,0
2115a ﾗｺｽﾃ,3.9,0,1.7,0
2120 ﾅｲｽｸﾗｯﾌﾟ,90.5,0,36.5,0
2120 ﾅｲｽｸﾗｯﾌﾟ,58.7,0,23.6,0
2120 ﾅｲｽｸﾗｯﾌﾟ,127.8,1,51.5,0
2130 ｴﾄﾞｳｨﾝ,87.4,0,35.3,0
2130 ｴﾄﾞｳｨﾝ,10.0,0,4.0,0
2130 ｴﾄﾞｳｨﾝ,4.0,0,1.7,0
2130 ｴﾄﾞｳｨﾝ,63.1,0,25.5,0
2130 ｴﾄﾞｳｨﾝ,44.4,0,17.9,0
