料金按分集計一覧表[グループ別集計]
按分方式,空調負荷按分
集計期間,2025/01/01～2025/01/31
集計日,2025/02/01 09:57

グループ名称,ガス使用量[m3],ガス従量料金[円],電力使用量[kWh],電力従量料金[円]
1900 ﾗﾙﾌﾛｰﾚﾝﾎｰﾑ,163.8,163.800,24.6,24.600
1900 ﾗﾙﾌﾛｰﾚﾝﾎｰﾑ,32.8,32.800,16.5,16.500
1900 ﾗﾙﾌﾛｰﾚﾝﾎｰﾑ,3.2,3.200,14.2,14.200
1905 ｱｸﾞ,147.7,147.700,30.4,30.400
1905 ｱｸﾞ,106.8,106.800,22.8,22.800
1905 ｱｸﾞ,20.9,20.900,15.0,15.000
1910 ﾃｰﾗｰﾒｲﾄﾞ,31.0,31.000,17.1,17.100
1910 ﾃｰﾗｰﾒｲﾄﾞ,14.6,14.600,14.3,14.300
1910 ﾃｰﾗｰﾒｲﾄﾞ,155.6,155.600,24.0,24.000
1920 ﾏｲｹﾙｺｰｽ,81.4,81.400,27.0,27.000
1920 ﾏｲｹﾙｺｰｽ,52.5,52.500,24.6,24.600
1920 ﾏｲｹﾙｺｰｽ,12.0,12.000,21.6,21.600
1920 ﾏｲｹﾙｺｰｽ,75.1,75.100,23.6,23.600
1920 ﾏｲｹﾙｺｰｽ,21.9,21.900,20.5,20.500
1920 ﾏｲｹﾙｺｰｽ,48.2,48.200,21.0,21.000
1920 ﾏｲｹﾙｺｰｽ,27.4,27.400,20.6,20.600
1930 ｽﾋﾟｯｸ&ｽﾊﾟﾝ/ｼﾞｬｰﾅﾙｽﾀﾝﾀﾞｰﾄﾞ,233.9,233.900,36.4,36.400
1930 ｽﾋﾟｯｸ&ｽﾊﾟﾝ/ｼﾞｬｰﾅﾙｽﾀﾝﾀﾞｰﾄﾞ,222.3,222.300,38.8,38.800
1930 ｽﾋﾟｯｸ&ｽﾊﾟﾝ/ｼﾞｬｰﾅﾙｽﾀﾝﾀﾞｰﾄﾞ,67.4,67.400,23.3,23.300
1930 ｽﾋﾟｯｸ&ｽﾊﾟﾝ/ｼﾞｬｰﾅﾙｽﾀﾝﾀﾞｰﾄﾞ,22.8,22.800,17.3,17.300
1930 ｽﾋﾟｯｸ&ｽﾊﾟﾝ/ｼﾞｬｰﾅﾙｽﾀﾝﾀﾞｰﾄﾞ,58.3,58.300,28.3,28.300
1930 ｽﾋﾟｯｸ&ｽﾊﾟﾝ/ｼﾞｬｰﾅﾙｽﾀﾝﾀﾞｰﾄﾞ,38.7,38.700,27.6,27.600
1930 ｽﾋﾟｯｸ&ｽﾊﾟﾝ/ｼﾞｬｰﾅﾙｽﾀﾝﾀﾞｰﾄﾞ,17.9,17.900,25.7,25.700
1935 ｺｰﾙﾊｰﾝ,127.7,127.700,23.5,23.500
1935 ｺｰﾙﾊｰﾝ,111.0,111.000,22.1,22.100
1935 ｺｰﾙﾊｰﾝ,31.2,31.200,17.3,17.300
