テストケース番号,大項目,中項目,小項目,パターン,ユーザーロール,前提条件,実行手順,期待値,実施結果,実施日,実施者,設計備考,不具合No,ステータス,バックログNO
TC-A1-001,個人ソルバー管理,生年月日不明設定,チェックボックス表示,正常系,管理者,管理者アカウントでログイン済み,"1. ログイン画面でメールアドレス「admin@example.com」を入力
2. パスワード「password123」を入力
3. 「サインイン」ボタンをクリック
4. ホーム画面が表示されたら、左側メニューから「ソルバー管理」をクリック
5. 「ソルバー管理」のサブメニューから「個人ソルバー一覧」をクリック
6. 個人ソルバー一覧画面で任意のソルバーの「詳細」ボタンをクリック
7. 個人ソルバー詳細画面が表示されたら、「基本情報」タブ内の生年月日項目を確認",生年月日入力欄の右側に「不明」チェックボックスが表示される,未実施,,,UI設計確認,,未実施,REQ-001
TC-A1-002,個人ソルバー管理,生年月日不明設定,チェックボックス操作,正常系,管理者,個人ソルバー詳細画面を表示済み、生年月日「1990/01/01」が入力済み,"1. 個人ソルバー詳細画面の「基本情報」タブを表示
2. 生年月日入力欄に「1990/01/01」が表示されていることを確認
3. 生年月日入力欄の右側にある「不明」チェックボックスをクリック
4. チェックマークが付いたことを確認
5. 生年月日入力欄の状態を確認","1. 「不明」チェックボックスにチェックマークが表示される
2. 生年月日入力欄がグレーアウトされる
3. 生年月日入力欄にカーソルを当てても編集できない
4. 入力欄の値「1990/01/01」は表示されたまま",未実施,,,UI動作確認,,未実施,REQ-001
TC-A1-003,個人ソルバー管理,生年月日不明設定,チェック解除,正常系,管理者,「不明」チェックボックスがチェック済み、生年月日入力欄がグレーアウト状態,"1. 個人ソルバー詳細画面の「基本情報」タブを表示
2. 「不明」チェックボックスにチェックが入っていることを確認
3. 生年月日入力欄がグレーアウトされていることを確認
4. 「不明」チェックボックスをクリックしてチェックを外す
5. 生年月日入力欄の状態を確認","1. 「不明」チェックボックスのチェックマークが消える
2. 生年月日入力欄のグレーアウトが解除される
3. 生年月日入力欄がクリック可能になる
4. 入力欄の値「1990/01/01」が編集可能になる",未実施,,,,,未実施,REQ-001
TC-A1-004,個人ソルバー管理,生年月日不明設定,初期状態確認,正常系,管理者,管理者でログイン済み、個人ソルバー一覧画面を表示,"1. 左側メニューから「ソルバー管理」→「個人ソルバー一覧」をクリック
2. 個人ソルバー一覧画面の右上にある「新規作成」ボタンをクリック
3. 新規個人ソルバー作成画面が表示される
4. 「基本情報」セクション内の生年月日項目を確認","1. 生年月日入力欄は空欄で表示される
2. 入力欄は白色背景で編集可能状態
3. 「不明」チェックボックスは未チェック状態
4. プレースホルダーに「YYYY/MM/DD」と表示される",未実施,,,,,未実施,REQ-001
TC-A1-005,個人ソルバー管理,生年月日不明設定,値保持確認,正常系,管理者,個人ソルバー詳細画面で生年月日「1985/05/15」が入力済み,"1. 個人ソルバー詳細画面の「基本情報」タブを表示
2. 生年月日に「1985/05/15」が入力されていることを確認
3. 「不明」チェックボックスをクリックしてチェックを入れる
4. 画面下部の「保存」ボタンをクリック
5. 「保存が完了しました」のメッセージを確認して「OK」をクリック
6. 左側メニューから「ホーム」をクリックして一旦離脱
7. 再度「ソルバー管理」→「個人ソルバー一覧」→同じソルバーの「詳細」をクリック
8. 「不明」チェックボックスのチェックを外す","1. 生年月日入力欄に元の値「1985/05/15」が表示される
2. データが保持されていることが確認できる",未実施,,,データ保持確認,,未実施,REQ-001
TC-A2-001,個人ソルバー管理,生年月日不明設定,権限チェック,異常系,一般ユーザー,一般ユーザーアカウントでログイン,"1. ログイン画面でメールアドレス「user@example.com」を入力
2. パスワード「userpass123」を入力
3. 「サインイン」ボタンをクリック
4. ホーム画面から「ソルバー情報」メニューをクリック
5. 「個人ソルバー詳細」画面にアクセス（参照のみ可能）
6. 生年月日項目周辺を確認","1. 生年月日は表示されるが編集不可
2. 「不明」チェックボックスは表示されない
または
3. 「不明」チェックボックスは表示されるが無効化（グレーアウト）されている",未実施,,,権限制御確認,,未実施,REQ-002
TC-B1-001,個人ソルバー管理,単価表示,人月単価0の場合,正常系,管理者,個人ソルバーの人月単価が0円に設定済み,"1. 管理者でログイン後、「ソルバー管理」→「個人ソルバー一覧」をクリック
2. 人月単価が0円のソルバー（テストデータ）の「詳細」ボタンをクリック
3. 個人ソルバー詳細画面が表示される
4. 「契約情報」タブをクリック
5. 「単価情報」セクション内の人月単価欄を確認","1. 人月単価欄に「不明」と表示される
2. 金額欄の背景色は通常と同じ
3. 「円」の単位は表示されない",未実施,,,,,未実施,REQ-003
TC-B1-002,個人ソルバー管理,単価表示,時間単価0の場合,正常系,管理者,個人ソルバーの時間単価が0円に設定済み,"1. 管理者でログイン後、「ソルバー管理」→「個人ソルバー一覧」をクリック
2. 時間単価が0円のソルバー（テストデータ）の「詳細」ボタンをクリック
3. 個人ソルバー詳細画面が表示される
4. 「契約情報」タブをクリック
5. 「単価情報」セクション内の時間単価欄を確認","1. 時間単価欄に「不明」と表示される
2. 金額欄の背景色は通常と同じ
3. 「円/時」の単位は表示されない",未実施,,,,,未実施,REQ-003
TC-B1-003,個人ソルバー管理,単価表示,両方とも0の場合,正常系,管理者,人月単価・時間単価が共に0円に設定済み,"1. 管理者でログイン後、「ソルバー管理」→「個人ソルバー一覧」をクリック
2. 両単価が0円のソルバー（テストデータ）の「詳細」ボタンをクリック
3. 個人ソルバー詳細画面が表示される
4. 「契約情報」タブをクリック
5. 「単価情報」セクション内の両単価欄を確認","1. 人月単価欄に「不明」と表示される
2. 時間単価欄に「不明」と表示される
3. 両方とも同じフォントスタイルで表示",未実施,,,,,未実施,REQ-003
TC-B1-004,個人ソルバー管理,単価表示,正常値の場合,正常系,管理者,人月単価50万円、時間単価5000円に設定済み,"1. 管理者でログイン後、「ソルバー管理」→「個人ソルバー一覧」をクリック
2. 正常な単価のソルバーの「詳細」ボタンをクリック
3. 個人ソルバー詳細画面が表示される
4. 「契約情報」タブをクリック
5. 「単価情報」セクション内の両単価欄を確認","1. 人月単価欄に「500,000円」と表示される
2. 時間単価欄に「5,000円/時」と表示される
3. 「不明」は表示されない
4. 数値は3桁区切りのカンマ付きで表示",未実施,,,,,未実施,REQ-003
