対象のテスト要件ファイル,大項目,中項目,小項目,パターン,userロール,前提条件,手順,期待値,設計備考
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,表示確認,基本表示,正常系,支援者,テスト用プロジェクト・カルテ・ユーザーが作成済み,"1. BOに支援者ロールでログイン
2. ヘッダーの「カルテ管理」をクリック
3. テスト用カルテを選択してクリック
4. 「編集」ボタンをクリック
5. 場所フィールドの表示位置を確認","場所フィールドが「SAP支援チーム（敬称略）」と「支援実施内容」の間に表示される","場所フィールドはカルテ画面の指定位置に配置されている"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,ラジオボタン,選択肢確認,正常系,支援者,カルテ編集モードが表示されている,"1. 場所のラジオボタン選択肢を確認
2. 以下の選択肢が表示されることを確認：
   - ① オンライン
   - ② 品川本社
   - ③ 顧客オフィス  
   - ④ その他
3. 複数のラジオボタンをクリックして単一選択を確認","4つの選択肢が表示され、1つのみ選択可能","要件では「出川本社」「電話オフィス」だが実装では「品川本社」「顧客オフィス」"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,テキスト入力,オンライン選択時,正常系,支援者,カルテ編集モードが表示されている,"1. 「オンライン」ラジオボタンを選択
2. テキスト入力フィールドの状態を確認","テキストフィールドが無効化（disabled）される","オンライン選択時はテキスト入力不要"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,テキスト入力,顧客オフィス選択時,正常系,支援者,カルテ編集モードが表示されている,"1. 「顧客オフィス」ラジオボタンを選択
2. テキスト入力フィールドの状態を確認
3. 空欄のまま保存を試行
4. テキストを入力して保存","テキストフィールドが有効化され、必須マーク（*）が表示される。空欄時はバリデーションエラー、入力後は正常保存","③④選択時はテキスト入力必須"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,権限確認,営業担当者閲覧,権限系,営業担当者,テスト用カルテが存在する,"1. 営業担当者ロールでBO画面にログイン
2. カルテ詳細画面にアクセス
3. 編集ボタンの表示を確認
4. 場所フィールドの表示を確認","編集ボタンが表示されない、場所情報が閲覧可能","営業担当者は閲覧のみ可能"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,メール通知,オンライン選択時,正常系,支援者,メール送信機能が有効化されている,"1. カルテ編集画面で場所を「オンライン」に設定
2. その他必須項目を入力
3. 下書きフラグをfalseに変更（確定）
4. 保存ボタンをクリック
5. 送信されたメールを確認","メールに「【場所】オンライン」が表示される","場所情報はメール通知に含まれる"
時刻入力15分単位制限機能テスト仕様書.md,時刻入力,スケジュール追加,15分単位制限確認,正常系,支援者,テスト用プロジェクトが作成済み,"1. FO画面に支援者ロールでログイン
2. プロジェクト詳細画面にアクセス
3. 「支援スケジュール追加」ボタンをクリック
4. 開始時刻フィールドをクリック
5. 分の選択肢を確認
6. 終了時刻でも同様に確認","分の選択肢が0、15、30、45のみ表示され選択可能","VueTimePickerで:step=""15""が実装済み"
時刻入力15分単位制限機能テスト仕様書.md,時刻入力,スケジュール編集,15分単位制限確認,正常系,支援者,既存スケジュールが存在する,"1. 既存スケジュールの編集画面を開く
2. 現在の時刻設定を確認
3. 時刻変更時の制限確認
4. 開始時刻を「09:45」、終了時刻を「11:00」に変更
5. 保存をクリック","編集時も15分単位制限が適用され、変更が正常に保存される","編集モードでも同様の制限が機能"
時刻入力15分単位制限機能テスト仕様書.md,時刻入力,カルテ時刻入力,15分単位制限確認,正常系,支援者,編集可能なカルテが存在する,"1. カルテ詳細画面にアクセス
2. 「編集」ボタンをクリック
3. 実施時間の開始時刻フィールドをクリック
4. 分の選択肢確認
5. 終了時刻でも同様に確認
6. 時刻設定と保存","カルテ時刻入力でも15分単位制限が機能する","カルテでも同じVueTimePickerコンポーネント使用"
時刻入力15分単位制限機能テスト仕様書.md,時刻入力,直接入力,制限なし確認,正常系,支援者,スケジュール追加画面が表示されている,"1. 時刻フィールドに直接キーボードで「10:07」と入力
2. 任意の分での入力テスト：「09:05」「14:22」「16:37」「18:59」
3. 直接入力した時刻でスケジュールを保存
4. 保存後の表示で入力した時刻が正しく表示されることを確認","直接入力時は15分単位制限が適用されず、任意の分も入力・保存可能","HTML5 time inputでは制限なし"
時刻入力15分単位制限機能テスト仕様書.md,時刻入力,ユーザビリティ,操作時間測定,正常系,支援者,時刻ピッカーが表示されている,"1. 時刻ピッカーで「10:30」を選択する時間を測定
2. スクロール操作の回数と時間を記録
3. 60分全ての選択肢がある場合との比較想定
4. 視認性の確認","15分単位制限により操作時間が短縮され、直感的で使いやすいUI","一般的な会議時間（15分単位）に適合"
カルテ入力画面文字制限テスト仕様書.md,文字制限,基本動作,999文字入力,境界値,支援者,編集可能なカルテが存在する,"1. FO画面に支援者ロールでログイン
2. カルテ詳細画面に遷移
3. 編集モードに切り替え
4. 「現状の課題・所感・申し送り」フィールドを確認
5. 999文字のテスト文字列をコピー&ペースト
6. 文字カウンターが「999/1000」と表示されることを確認
7. 「一時保存」ボタンをクリック","999文字が正常に入力・保存され、文字カウンターが正確に表示される","1000文字制限、max-length=""1000""実装済み"
カルテ入力画面文字制限テスト仕様書.md,文字制限,境界値,1000文字入力,境界値,支援者,999文字が入力済みの状態,"1. 現在の999文字の末尾に「あ」を1文字追加
2. 文字カウンターが「1000/1000」と表示されることを確認
3. バリデーション状態確認（エラーメッセージなし）
4. 「一時保存」ボタンをクリック
5. ページを再読み込みして保存確認","1000文字ちょうどが正常に入力・保存される","1000文字上限での正常動作確認"
カルテ入力画面文字制限テスト仕様書.md,文字制限,制限超過,1001文字入力,異常系,支援者,1000文字が入力済みの状態,"1. 現在の1000文字に「あ」を1文字追加
2. バリデーションエラー表示確認
3. エラーメッセージ内容確認
4. 「一時保存」ボタンをクリック
5. 2000文字のテキストを一度にペースト","1001文字以上でバリデーションエラーが表示され、保存が防止される","制限超過時の適切なエラー制御"
